Date,Close
5/1/2018,44.83
5/2/2018,43.86
5/3/2018,44.44
5/4/2018,45.3
5/7/2018,45.73
5/8/2018,45.71
5/9/2018,46.04
5/10/2018,46.3
5/11/2018,45.93
5/14/2018,45.7
5/15/2018,45.48
5/16/2018,45.16
5/17/2018,43.46
5/18/2018,43.21
5/21/2018,43.75
5/22/2018,43.65
5/23/2018,43.68
5/24/2018,43.57
5/25/2018,43.26
5/29/2018,42.97
5/30/2018,42.85
5/31/2018,42.85
6/1/2018,43.66
6/4/2018,43.58
6/5/2018,43.67
6/6/2018,44.26
6/7/2018,43.65
6/8/2018,43.48
6/11/2018,43.69
6/12/2018,43.94
6/13/2018,44.01
6/14/2018,44.69
6/15/2018,44.25
6/18/2018,44.21
6/19/2018,43.82
6/20/2018,43.74
6/21/2018,43.16
6/22/2018,43.2
6/25/2018,42.29
6/26/2018,42.55
6/27/2018,42.33
6/28/2018,42.94
6/29/2018,43.03
7/2/2018,42.81
7/3/2018,42.67
7/5/2018,42.56
7/6/2018,42.71
7/9/2018,42.67
7/10/2018,42.86
7/11/2018,42.57
7/12/2018,43.58
7/13/2018,41.78
7/16/2018,42.5
7/17/2018,42.34
7/18/2018,42.21
7/19/2018,42.4
7/20/2018,42.01
7/23/2018,42.06
7/24/2018,42.39
7/25/2018,43.16
7/26/2018,43.53
7/27/2018,42.57
7/30/2018,42.17
7/31/2018,42.29
8/1/2018,41.86
8/2/2018,42.53
8/3/2018,42.83
8/6/2018,43.3
8/7/2018,43.58
8/8/2018,43.84
8/9/2018,43.78
8/10/2018,43.78
8/13/2018,43.75
8/14/2018,44
8/15/2018,43.86
8/16/2018,45.16
8/17/2018,45.87
8/20/2018,46.22
8/21/2018,45.78
8/22/2018,45.99
8/23/2018,46.02
8/24/2018,46.32
8/27/2018,46.59
8/28/2018,46.95
8/29/2018,47.48
8/30/2018,47.15
8/31/2018,47.77
9/4/2018,47.73
9/5/2018,47.27
9/6/2018,47.28
9/7/2018,47.05
9/10/2018,47.07
9/11/2018,47.03
9/12/2018,46.89
9/13/2018,47.24
9/14/2018,47.4
9/17/2018,47.11
9/18/2018,47.46
9/19/2018,47.28
9/20/2018,47.73
9/21/2018,48.56
9/24/2018,48.44
9/25/2018,48.47
9/26/2018,48.41
9/27/2018,48.33
9/28/2018,48.65
10/1/2018,48.87
10/2/2018,49.01
10/3/2018,49.14
10/4/2018,48.38
10/5/2018,48.13
10/8/2018,47.52
10/9/2018,47.49
10/10/2018,45.63
10/11/2018,44.12
10/12/2018,45.71
10/15/2018,44.67
10/16/2018,45.82
10/17/2018,45.94
10/18/2018,45.46
10/19/2018,45.34
10/22/2018,45.76
10/23/2018,45.42
10/24/2018,44.07
10/25/2018,45.47
10/26/2018,44.25
10/29/2018,43.84
10/30/2018,44.58
10/31/2018,45.75
11/1/2018,45.65
11/2/2018,45.48
11/5/2018,46.14
11/6/2018,46.5
11/7/2018,47.9
11/8/2018,48.44
11/9/2018,47.11
11/12/2018,45.62
11/13/2018,45.12
11/14/2018,44.33
11/15/2018,46.77
11/16/2018,46.35
11/19/2018,45.75
11/20/2018,44.49
11/21/2018,44.89
11/23/2018,44.54
11/26/2018,45.57
11/27/2018,46.12
11/28/2018,47.29
11/29/2018,47.34
11/30/2018,47.87
12/3/2018,48.74
12/4/2018,47.35
12/6/2018,48.39
12/7/2018,46.44
12/10/2018,46.86
12/11/2018,47.09
12/12/2018,47.42
12/13/2018,47.47
12/14/2018,45.82
12/17/2018,44.2
12/18/2018,44.06
12/19/2018,43.14
12/20/2018,42.49
12/21/2018,41.85
12/24/2018,40.28
12/26/2018,42.47
12/27/2018,42.91
12/28/2018,42.77
12/31/2018,43.33
1/2/2019,42.95
1/3/2019,41.07
1/4/2019,42.92
1/7/2019,43.21
1/8/2019,43.56
1/9/2019,43.32
1/10/2019,43.24
1/11/2019,43.49
1/14/2019,43.21
1/15/2019,44.02
1/16/2019,43.96
1/17/2019,44.21
1/18/2019,45.03
1/22/2019,44.78
1/23/2019,45.46
1/24/2019,45.61
1/25/2019,46.13
1/28/2019,45.75
1/29/2019,45.96
1/30/2019,46.71
1/31/2019,47.29
2/1/2019,47.34
2/4/2019,47.35
2/5/2019,47.26
2/6/2019,47.48
2/7/2019,46.7
2/8/2019,47.19
2/11/2019,47.58
2/12/2019,47.89
2/13/2019,47.5
2/14/2019,48.4
2/15/2019,49.43
2/19/2019,49.65
2/20/2019,49.63
2/21/2019,49.41
2/22/2019,50.11
2/25/2019,50.79
2/26/2019,51.18
2/27/2019,51.59
2/28/2019,51.77
3/1/2019,51.41
3/4/2019,51.16
3/5/2019,51.3
3/6/2019,51.67
3/7/2019,51.29
3/8/2019,51.07
3/11/2019,51.92
3/12/2019,52.15
3/13/2019,52.59
3/14/2019,52.74
3/15/2019,53.2
3/18/2019,53.51
3/19/2019,53.31
3/20/2019,53.26
3/21/2019,53.94
3/22/2019,52.74
3/25/2019,52.73
3/26/2019,53.23
3/27/2019,53.14
3/28/2019,53.36
3/29/2019,53.99
4/1/2019,54.98
4/2/2019,55.29
4/3/2019,55.63
4/4/2019,55.14
4/5/2019,55.21
4/8/2019,55.49
4/9/2019,55.18
4/10/2019,55.82
4/11/2019,55.6
4/12/2019,56.29
4/15/2019,56.56
4/16/2019,56.95
4/17/2019,56.31
4/18/2019,56.4
4/22/2019,56.34
4/23/2019,56.69
4/24/2019,56.88
4/25/2019,56.33
4/26/2019,55.88
4/29/2019,56.13
4/30/2019,55.95
